City1,City1.Longitude,City1.Latitude,City2,City2.Longitude,City2.Latitude,Season,Passenger_Trips
BRISBANE,153.024292,-27.47101,MORANBAH,148.034836,-21.99828,Summer,6307.6626506024095
BRISBANE,153.024292,-27.47101,MORANBAH,148.034836,-21.99828,Winter,8528.58426966292
BRISBANE,153.024292,-27.47101,MOUNT ISA,139.497269,-20.725229,Autumn,11042.714285714286
BRISBANE,153.024292,-27.47101,MOUNT ISA,139.497269,-20.725229,Spring,11927.030303030304
BRISBANE,153.024292,-27.47101,MOUNT ISA,139.497269,-20.725229,Summer,10408.6
BRISBANE,153.024292,-27.47101,MOUNT ISA,139.497269,-20.725229,Winter,11127.698924731183
BRISBANE,153.024292,-27.47101,NEWCASTLE,151.784485,-32.927792,Autumn,27518.40390879479
BRISBANE,153.024292,-27.47101,NEWCASTLE,151.784485,-32.927792,Spring,29527.549206349206
BRISBANE,153.024292,-27.47101,NEWCASTLE,151.784485,-32.927792,Summer,27263.263665594855
BRISBANE,153.024292,-27.47101,NEWCASTLE,151.784485,-32.927792,Winter,27803.450479233226
BRISBANE,153.024292,-27.47101,PERTH,115.861397,-31.95224,Autumn,34848.165374677
BRISBANE,153.024292,-27.47101,PERTH,115.861397,-31.95224,Spring,36372.421836228285
BRISBANE,153.024292,-27.47101,PERTH,115.861397,-31.95224,Summer,34697.76904176904
BRISBANE,153.024292,-27.47101,PERTH,115.861397,-31.95224,Winter,35112.68700265252
BRISBANE,153.024292,-27.47101,PROSERPINE,148.5802,-20.4011,Autumn,10014.143507972665
BRISBANE,153.024292,-27.47101,PROSERPINE,148.5802,-20.4011,Spring,12293.27816091954
BRISBANE,153.024292,-27.47101,PROSERPINE,148.5802,-20.4011,Summer,10936.93166287016
BRISBANE,153.024292,-27.47101,PROSERPINE,148.5802,-20.4011,Winter,11191.58352402746
BRISBANE,153.024292,-27.47101,ROCKHAMPTON,150.505951,-23.38032,Autumn,31498.072892938497
BRISBANE,153.024292,-27.47101,ROCKHAMPTON,150.505951,-23.38032,Spring,33384.37701149425
BRISBANE,153.024292,-27.47101,ROCKHAMPTON,150.505951,-23.38032,Summer,28748.30979498861
BRISBANE,153.024292,-27.47101,ROCKHAMPTON,150.505951,-23.38032,Winter,33368.823798627
BRISBANE,153.024292,-27.47101,SYDNEY,151.205475,-33.861481,Autumn,266856.4396355353
BRISBANE,153.024292,-27.47101,SYDNEY,151.205475,-33.861481,Spring,289726.66896551725
BRISBANE,153.024292,-27.47101,SYDNEY,151.205475,-33.861481,Summer,271051.4145785877
BRISBANE,153.024292,-27.47101,SYDNEY,151.205475,-33.861481,Winter,278937.2471395881
BRISBANE,153.024292,-27.47101,TOWNSVILLE,146.805695,-19.26639,Autumn,53168.52619589977
BRISBANE,153.024292,-27.47101,TOWNSVILLE,146.805695,-19.26639,Spring,55936.43908045977
BRISBANE,153.024292,-27.47101,TOWNSVILLE,146.805695,-19.26639,Summer,49882.46697038724
BRISBANE,153.024292,-27.47101,TOWNSVILLE,146.805695,-19.26639,Winter,59032.81006864989
BROOME,122.23922,-17.955379,PERTH,115.861397,-31.95224,Autumn,13137.93166287016
BROOME,122.23922,-17.955379,PERTH,115.861397,-31.95224,Spring,15329.758620689656
BROOME,122.23922,-17.955379,PERTH,115.861397,-31.95224,Summer,10823.494305239179
BROOME,122.23922,-17.955379,PERTH,115.861397,-31.95224,Winter,17676.068649885583
BUNDABERG,152.3479,-24.866211,BRISBANE,153.024292,-27.47101,Autumn,12243.735632183909
BUNDABERG,152.3479,-24.866211,BRISBANE,153.024292,-27.47101,Spring,13592.689655172413
BUNDABERG,152.3479,-24.866211,BRISBANE,153.024292,-27.47101,Summer,12476.361445783132
BUNDABERG,152.3479,-24.866211,BRISBANE,153.024292,-27.47101,Winter,13142.337078651686
